Question Number,Question Text,Selected Answer,Correct Answer,Correct/Incorrect,Feedback
72,"An agile team is demonstrating a recently developed product. Who determines when a product is complete?","The development team","The product owner",Incorrect,"The team defines the definition of done (DoD), but it is the product owner who accepts the delivered stories as being complete. The DoD is a clear and concise list of requirements that the user story must satisfy for the team to call it complete. The DoD must apply to all items in the backlog. Acceptance criteria, on the other hand, are uniquely defined for each item in the backlog and are used by the product owner to declare a story complete. Agile Practice Guide, Project Management Institute Inc., 2017, Page(s) 41"
73,"During the iteration planning meeting, you come across a story whose development does not fit into an iteration. What is the BEST thing to do next?","Split the story into smaller stories.","Split the story into smaller stories.",Correct,"One should split a story into multiple smaller stories that can be accommodated into an iteration length."
74,"Exploratory tester use all the following tools EXCEPT?","Test Cases","Test Cases",Correct,"Exploratory testers uses the following four tools to explore the software. Tool #1: Charters Before beginning an exploratory session, a tester should have some idea of what to explore in the system and what kinds of things to look for. This charter helps keep the session focused. Tool #2: Observation Tool #3: Notetaking Exploratory testers keep a notepad beside them as they explore and periodically take notes on the actions they take. Tool #4: Heuristics A heuristic is a guide: a technique that aids in your explorations."
75,"Susanne is the product manager for one of the critical go to market product for Foremost enterprise. IT team developing the product has chosen KANBAN methodology to deliver the product. Susanne is invited to daily standup meetings and she is quite pleased with the progress so far and quality of discussions during the daily standup meetings. She has observed that just after the daily standup meetings are complete some small groups of 2-3 team members go to different room and discuss some issue. She asks one such group on what they were discussing and she was told it was mostly some architectural or process related issues. Susanne wonders why they are not been discussed in daily standup meetings. She approached the Project Manager of the team. What should project manager do?","PM should tell Susanne that she should not worry about such meetings as After Meetings are common practice in KANBAN to generate improvement ideas","PM should tell Susanne that she should not worry about such meetings as After Meetings are common practice in KANBAN to generate improvement ideas",Correct,"Such meeting which happens after daily standups are After Meeting consists of huddles of small groups of 2 or 3 people. This emerged as spontaneous behaviour as folks want to discuss something on their mind and may often result in improvement ideas."
76,"It is the Sprint Planning meeting for 3rd sprint of an 8-sprint release. One user story is too large and team decides to split it into smaller stories. There are several ways team could split user stories EXCEPT:","Splitting the user stories based on the data that will be supported or based on data variations","Splitting user stories based on relative weightage of risk and business value for each of the smaller stories.",Incorrect,"Relative weightage of risk and business value is used to prioritize user stories, but is not recommended to split a user story into smaller stories."
77,"Team was working on iteration 3 and during the testing, tester identified bugs in a story completed in iteration no 1, what should be the team's response?","This bug is treated the same way as a user story. The fixing will prioritize into a subsequent iteration in the same way that any other user story would be.","This bug is treated the same way as a user story. The fixing will prioritize into a subsequent iteration in the same way that any other user story would be.",Correct,"The bug found in finished iteration stories need to be treated as a story for prioritization in subsequent iterations, they do not get scheduled into the next iteration automatically."
78,"You are project Manager and have been participating in initial discussion with product Managers, business and architect team to reach an agreement on work in progress limit for your team. After analyzing the nature of work and other parameters you have proposed a Work in progress limit of 50 however Business stakeholders want WIP in progress limit to be increased to 75 as there is need to faster time to market. As a Project manager what are the factors you should consider before deciding on WIP limits.","WIP limits are mostly influenced by Queue size and needs to be determined during the course of the project as more information is available to team","WIP limits is influenced by Queue and buffer size , both of these needs to be empirically adjusted as required as the project progresses",Incorrect,"WIP limits is influenced by Queue and buffer size , both of these needs to be empirically adjusted as required as the project progresses."
79,"If the product owner said that the last sprint failed to deliver value to the project What should the scrum master mention at the next retrospective?","Issues that arose","Issues that arose",Correct,"Issues which come and happened during that sprint needs to be discussed and present on the table during the retrospective meeting."
80,"While working on a sprint an agile team notice that an important task on the sprint backlog will take more time than it was estimated. What should the agile team do?","Continue working in the task until it is completed","Stop working on the task and plan it for next iteration",Incorrect,"Stop working on the task and plan it for next iteration) some times some tasks need more time than originally estimated and the task is important maybe it needs to be done as one box, Stop working on it and keep focusing on it for next iteration.With stopping it they may finish the sprint early and start directly once the new iteration start Note that :If it [means the sprint then answer is 3] if it means the story then as we know sprint is a time-boxed framework."
81,"You are the Product Owner and you see an updated burndown chart depicting the progress of the current iteration. The team is on day 10 of 30-day iteration. The card depicts the planned progress as a diagonal line in yellow. Actuals are updated each day, forming a green line. On day 10, the green line below the yellow line. What does this communicate to stakeholders?","New Tasks are getting added in the Sprint backlog which is hampering the progress","This iteration is going well- the team is ahead of the plan",Incorrect,"The green line indicates the amount of ideal hours within which work has been completed. On day 10, the team is further along than planned, so the team has burned down the work faster than expected. Option D could be right but we should not jump to the conclusion as iteration is not yet over and we do not know whether the planned velocity was similar as that of the previous iteration."
82,"How do you BEST describe the primary role of Agile Leader?","Manage teams without having to manage their tasks.","Manage teams without having to manage their tasks.",Correct,"Agile leaders is cast in the role of managing teams by articulating project goals , objectives , vision etc. but leaving the teams to manage their own tasks."
83,"What trend does the top of the bar indicate in a release burndown bar chart?","Work to be completed","Work completed",Incorrect,"A release burndown bar chart uses bars to indicate the amount of work in the release. The top of the bar is lowered any time work is completed. This shows the velocity of the team."
84,"Who writes the User Stories?","Developer","Customer",Incorrect,"Customer is accountable for writing user stories, in many cases they are supported by proxies like business analysts but in principle they remain accountable for writing user stories."
85,"There are 5 levels of planning that are common to agile projects. If we list them from high-level to low-level planning, which of the following represents the correct sequence?","Product vision, product roadmap, release plan, iteration plan, daily plan","Product vision, product roadmap, release plan, iteration plan, daily plan",Correct,"B has the correct planning levels named and in the proper order."
86,"The project sponsor from the customer's side doesn't like most of what she sees in the product demo just before the first release of the product. And now the whole release could be in jeopardy. What do you think could possibly be the root cause of this situation?","The Product Owner lacks the necessary experience to capture requirements in an effective manner or failed to communicate them to the team.","The project sponsor was either not invited or failed to attend previous demo sessions that were conducted at the end of individual Sprints.",Incorrect,"If the project sponsor doesn't like most of what she sees, she is looking at the product probably for the first time. Faster feedback cycle with the customer is one of the key reasons why various Agile methods recommend developing the product in iterations."
87,"Agile has a lot of methodologies,frameworks and practices. (Drag and drop the items from Left to right )","A-3,B-4,C-1,D-2,E-5","A-5, B-1, C-4, D-3, E-2",Incorrect,"A-5, B-1, C-4, D-3, E-2"
88,"Product Owner wants to include an urgent story into the current Sprint – on day 3 of a 2-week Sprint. How should the development team respond to this request?","Take the change in but only as an exception, and request the Product Owner to take a roughly same-size story out of the Sprint","Take the change in but only as an exception, and request the Product Owner to take a roughly same-size story out of the Sprint",Correct,"While the team may take in urgent changes into the current Sprint, under extreme circumstances, it should make sure the Sprint scope matches with the team capacity."
89,"In a Scrum team, who is responsible for the success or failure of the project?","Development Team","The entire Scrum team",Incorrect,"The responsibility for the success of the project is shared by the entire team."
90,"A team member has been coming late to the daily scrum for past several days. What should the Scrum Master do?","Talk to the member to figure if he needs support.","Talk to the member to figure if he needs support.",Correct,"As a first intervention, the Scrum Master should try to understand the root cause of such erring behaviour."
91,"Why do we write acceptance tests?","Tests are used to fill in the details of a user story, it captures the assumption made by the customer while writing the user stories","Tests are used to fill in the details of a user story, it captures the assumption made by the customer while writing the user stories",Correct,"Test notes captures assumptions made by the customer. Acceptance tests also provide basic criteria to determine if a story is fully implemented."
92,"The team wants to know how the product will be used, or what features will prove more popular. Of the following, what technique can help the most?","Create personas","Create personas",Correct,"Creating personas are the best choice for the scenario. The personas are like a fictional character or made up which represents your customer target segment."
93,"Which of the following statement is true about risk identification in agile teams?","Risks gets identified in Daily stand-ups, iteration planning meetings, release planning meetings, demos, reviews, and retrospective meetings","Risks gets identified in Daily stand-ups, iteration planning meetings, release planning meetings, demos, reviews, and retrospective meetings",Correct,"In agile we do organic risk management and risk can be identified in any of the planning meeting, no special meeting for just identifying risks."
94,"One of your stakeholders is interested in knowing how well agile team is doing in reducing the risks iteration by iteration, which of the following information radiator can help the most?","Risk Burn Down Chart Solution","Risk Burn Down Chart Solution",Correct,"The risk burn down chart displays how the cumulative risk exposure is reduced as the project is progressing though iterations."
95,"Who comes up with the definition of done for a feature?","The quality-control specialist","The team",Incorrect,"The team defines what done means. Typically it includes designed, coded, tested, and accepted by the Product Owner. Even though many stakeholders are included, yet it is the team that defines done. Lot of time we think it should be Product Owner or Customer, Customer / Product owner does defines the acceptance criteria for the user story but since the definition of done is more focused towards the engineering activities, it is defined by Team, and acceptance by Customer is usually part of definition of Done."
96,"A vice president of product management company taken the role of Product Owner for a business critical product. He is ideally suited to ensure product vision better, but he is struggling to spend enough time with the team. He is thinking to have a proxy for the lower level detailing of requirements. Who makes the best User Proxies?","Salespersons","Someone from the development team",Incorrect,"In Agile we don't need managers, we need leaders. When Product Owner is busy, then the first approach should be identifying the way to get realistic workload, and so that can work with their teams. It may not always be possible. A person from the development team who aware of technology world as well as the domain of the software. An analyst who puts effort into interacting with actual users is often an excellent user proxy."
97,"While transitioning from Waterfall to Agile, a team of 25 decides to create two development teams and one testing team, where the output of current development iterations is tested in the next testing iteration. This practice is likely to increase the following types of wastes EXCEPT:","Delays","Defects",Incorrect,"The number of defects are dependent on quality of development, and not when the testing actually takes place."
98,"In Scrum, how does developing product over multiple time-boxed sprints help in managing requirements:","Developing a product over several iterations is a pre-condition for empirical process control.","It helps balance the need for certainty vs. the benefits of adaptability.",Incorrect,"Developing a product over several iterations helps balance the need for certainty (within a sprint) vs. the benefits of adaptability (from one sprint to the next)."
99,"Joy met with Sally so that he could describe in detail the change the customer wanted to make into a key feature of the product. While Joy talked about the technical specifications, Sally made eye contact with Joy. When Joy felt that all the details had been covered, Sally asked if she could repeat back her understanding to make sure it was complete and clear. In this scenario, sally is applying what technique?","Active listening","Active listening",Correct,"Active listening is the best description of what has been done. She made an eye contact and reviewed to confirm understanding by starting back to the other person what she listened carefully."
100,"Agile earned value management is most appropriately applied at which level?","Wave","Iteration",Correct,"Tracking and reporting of costs and accomplished story points is most appropriately applied at each iteration or sprint in a release. The Budget is prepared at release level, so you get a budget for release and you monitor the budget at the end of iteration."
101,"A Lean team employed a technique to analyse the flow of information and materials through system to identify value adding and non value adding activities. This technique is called:","Pareto Lean paring","Value stream mapping",Incorrect,"The question describes value stream mapping, used to better understand and streamline processes."
102,"You are a project manager for SubZero Delights, a company that offers extraordinary experiences to travelers. Your latest project involves the development of a smartphone app that automatically picks up a customer's GPS coordinates to provide tailored resources and recommendations. While documenting the resource management plan, you decide to incorporate a RACI. What does RACI stand for? (Select four.)","Responsible Accountable Consult Inform","Responsible Accountable Consult Inform",Correct,"RACI is a type of responsibility assignment matrix that captures resources assigned and how they are associated with the work of the project. RACI stands for responsible, accountable, consult, inform."
103,"You are a scrum master of scrum team. The new team member has just joined the team and has a very little experience in the domain you are working in. How should you manage him?","Give him specific tasks so he can get started","Spend time in modelling expected behaviour",Incorrect,"As a scrum master you do have a role to coach people, and when people join in the team your role comes into picture to explain what is expected out of him."
104,"A Development teams' velocity is around 40 story points, and they are accepting 5, 8, 13point stories in an iteration. The team is taking high priority items needed by the business and also Product Owner regularly involved during development. But still, the team is feeling urgency pressure and as a result consistently missing out one or two user stories in the iterations. As an Agile Practitioner, what would you like to suggest?","Split large user stories in small user stories.","Split large user stories in small user stories.",Correct,"The size of user stories looks like big especially for 8, 13 when the velocity is 40 points for an iteration. When stories are large, we need to split them to reduce complexity by looking into various possible small and valuable independent pieces within them. Large stories take more time compared to small one. The question is nothing indicating that team is poor in capacity planning, and they need training. When stories are big, then product backlog needs grooming for the splitting of user stories, but we have already more specific option: Splitting big user stories in small one and becomes best."
105,"Reducing the number of items in the team's immediate focus results in?","Kanban task boards","WIP Limits and increases productivity and quality",Incorrect,"It's a core focus of Kanban. Reduced Work In Progress is very effective at increasing the productivity and quality of the team's work."
106,"Team A is delivering 800 SP, and Team B is delivering 30 SP. Team B is going through some external interruptions after adding few resources. As an Agile Practioner, how would you define team A and team B?","Adding resources in between of Sprint is not allowed, and it may impact the velocity of team B compared to team A","Can't say anything about who is doing better, although Team B could increase their velocity by avoiding interruptions",Incorrect,"Each team has its definition of velocity, which cannot be comparable from other teams. Yes, adding resources in between slow-downs the velocity but still, Team A can not be compared with team B using velocity."
107,"Budget & schedule should be considered as conditions of satisfaction for which phase of planning?","Product planning","Release planning",Incorrect,"Budget & schedule are the two measures used for determining product success & should occur at the release planning phase."
108,"What style of leadership should agile leader adapt?","Collaborative leadership","Adaptive leadership",Incorrect,"Agile welcomes changing requirements as an opportunity to refine the product or the work performed to deliver more value and competitive advantage to the customer so agile leaders must be adaptive."
109,"Your team consists of a programmer, a designer, and a tester and you are asked to provide an estimate for a user story in terms of ideal days. What is the BEST approach for providing this estimate?","This scenario is not suited for estimating in Ideal Days","Provide a single estimate for the user story",Incorrect,"In estimating a user story in terms of Ideal Days, one should associate a single estimate with each user story, and this helps in deriving cross functional behaviour."
110,"Which of the following is an example of Avoid risk response category?","Development of this feature is outsourced to other team","This feature gets dropped from the product backlog because of the risk associated with it.",Incorrect,"Avoid talks about removing or avoiding the cause of risk, so here by dropping a feature we are avoiding the risk."
111,"Which could be the best possible approach for Splitting Epic?","Disaggregation can be done along the lines to create, edit, and delete.","Disaggregation can be done along the lines to create, edit, and delete.",Correct,"Since user stories focus on giving value to the user or purchaser , splitting stories based on the technical line will not give value to the user, if we split based on functions like create / edit / delete, each story gives value to the user."
112,"A development team is fully aware of their decisions, and consequences too. The whole development team have goals to achieve but are not directed how to achieve them. They are free to manage their work and can enhance their skills contineously. How would you describe this team?","The team is empowered to develop own methods of working together","The team is empowered to develop own methods of working together",Correct,"A self-organizing team is defined as: A group of motivated individuals, who work together toward a goal, have the ability and authority to take decisions and readily adapt to changing demands One of the Agile principles is that the best architectures, requirements, and designs emerge from self-organizing teams."
113,"Your team is in a good place; your velocity is gaining momentum with each new Sprint, and then suddenly your star developer turns in his resignation. Which one of the following practice will support the team best?","The team member must be willing to share knowledge openly","The team member must be willing to share knowledge openly",Correct,"Agile team is self-organizing. The sharing of knowledge among team members is important to success, as we look for collective code ownership. The team is not reliant on a PM / Scrum Master to make assignments."
114,"The team meets for the sprint planning meeting. Regarding the product backlog, what is the correct expectation of the team?","The team expects to work with the Product Owner during the sprint planning meeting to help rank and prioritize the product backlog","The team expects prioritized product backlog to work on from the product owner",Incorrect,"It is expected that The Product Owner carries out value-based prioritization PRIOR to the sprint planning meeting. The team (not the Product Owner or Scrum Master) commits to how many features or backlog items to team can produce in the next iteration or Sprint."
115,"In creating the team space, what feature provides the most effective method of communication?","Desk positioning, creating a team space which promotes face-to-face interaction","Desk positioning, creating a team space which promotes face-to-face interaction",Correct,"Face-to-face communications is the most effective; the majority of face-to-face conversation content is nonverbal."
116,"Which role is responsible to prepare the release plan?","The Product Owner","The Product Owner",Correct,"It's a role of a product owner."
117,"You are the scrum master of an underperforming and burnt-out agile team. How can you best improve the team's performance?","Increase the number of daily stand-up meetings","Take the team to lunch",Incorrect,"Sometimes simple solutions is the most effective in Agile. If a team is burnt out, a simple Solution: may be to take them to lunch to help boost morale. Other solutions are focused on more monitoring which will not be constructive."
118,"As per XP methodology , When XP teams perform significant analysis, design, coding and testing?","Every day.","Every day.",Correct,"XP teams perform significant analysis, design, testing, and coding every day."
119,"In a sprint planning meeting, who is responsible for selecting the number of items for the sprint from the product Backlog?","Development Team.","Development Team.",Correct,"The number of items selected from the Product Backlog for the Sprint is solely up to the development team. Only the development team can assess what it can accomplish over the upcoming Sprint. Product owner is responsible for the prioritization/rank of user stories according to business value."
120,"Your company implements a requirement that teams create highly detailed documentation as part of the company-wide software development lifecycle. What is the correct response?","Use negotiation techniques to help the organization become more agile","Select a process for the team that delivers the highly detailed documentation without sacrificing delivery of customer value",Incorrect,"When your company has a requirement for all teams, you need to comply with it. That's why agile teams tailor their process based on how the wider organization functions. But they still make sure that they are focused first and foremost on delivering value to the customer."
121,"You are an agile practitioner. Several members of your team have expressed concern that the project is not progressing as well as they would like. What is the best course of action?","Post a burn-down chart in a highly visible part of the team space","Post a burn-down chart in a highly visible part of the team space",Correct,"An agile practitioner should practice visualization of important project information by maintaining information radiators that are highly visible. It's important that they show the team's real progress, and a burn-down chart is a great way to do that."
122,"Your project sponsor wants to know if the product you're building will be ready to demo at a trade show.What do you tell him?","We'll get your top-priority functionality done by then.","We'll get your top-priority functionality done by then.",Correct,"In this case, you need to know that agile teams will typically fix time and cost and allow scope to vary, as reflectedin the agile triangle.When balancing constraints, the agile approachis to get the highest-priority product functionality done by the customer's deadline."
123,"As Scrum Master, you assess that the competitive market has shifted and the product the team is building is no longer viable.What should you do?","Ask the product owner if the viability of the project has changed.","Ask the product owner if the viability of the project has changed.",Correct,"The ScrumMaster can't terminate theproject because he don't make those kinds o fdecisions. he also wouldn't direct the product owner what to do when. The only person on a Scrum team who has the information needed to assess the viability of the project is theproduct owner.So the correct answeris ""ask theproduct ownerifthe viability ofthe projecthas changed."""
124,"You are leading a team with an average velocity of 65 points per iteration.Another team of the same size in your organizationis working on aproject with similar complexity. The other team's velocityis averaging 90 points per month.Your team should:","Perform affinity estimating to check their estimates, since something is off","Ignore the difference",Incorrect,"Velocity is team-specific and unique to that team.In other words, a story point for one team probably wouldn't have the same value as a story point for another team.Therefore,it is not appropriate to compare velocities between teams. The best choice would be to ignore the difference."
125,"Influences in the projects (Drag and drop the items from Left to right)","A-1,B-2","A-1,B-2",Correct,"A-1,B-2"
126,"Your team is averaging 40 story pointsper two-week iteration.they have 200 points' worth of functionality left in the user story backlog.How many weeks can we expect it will take until development is completed?","10","10",Correct,"The average 40 points per iteration, we should get through a 200-point backlog in 5 iterations (200 / 40= 5).Each iterationis 2 weeks long, so 5 iterations is equivalent to 10 weeks (5x2=10). The key to answeringthis question correctly is noticing that the question asked for the number of weeks,not the number of iterations."
127,"As per agile estimating tools and techniques So, Affinity estimating allows a team to:","Check that stories within the same functional areas are of similar proportion.","Confirm that stories that have been estimated as the same size are of equivalent magnitude.",Incorrect,"Affinity estimation involves a process of triangulation to confirm that stories estimated to be the same size are of equivalent magnitude."
128,"You have been assigned a New Project that is large, complex and uncertain. As a Project Manager, you will be using agile project management. Which of the following will you select while creating your team?","None of the above","None of the above",Correct,"As per Agile methodology, it is best to work with small teams staffed by talented and experienced people and increase the number only when required."
129,"After the end of the fourth sprint, the agile team members reported that they were unable to complete all user stories to be delivered in the sprint since the product owner pushed too many story points for the last sprint. As a result, the team had to work overtime and eventually got burned out. The product owner wants to hold the team accountable for the sprint failure. What is the best course of action for the team in this situation?","Not accept responsibility for the failure and hold the product owner accountable for pushing too many story points into the last sprint","Accept the responsibility for the failure and hold retrospective to see how to improve the process for the next sprint",Incorrect,"Maintaining a constant pace indefinitely is one of the Agile Manifesto principles. The team should have planned work properly and accepted only the number of story points that they felt they could complete based on the velocity determined in the previous three sprints Agile Practice Guide, Project Management Institute Inc., 2017, Page(s) 50-51"
130,"A team needs to perform various activities during Sprint Planning meeting. Which of the following activities should ideally be completed before Sprint Planning starts?","Prioritize product Backlog items","Prioritize product Backlog items",Correct,"A prioritized product backlog is an essential input for the Sprint Planning meeting. Other tasks are part of the Sprint Planning meeting."
131,"How should the team handle non-functional activities that are part of Definition of Done (DoD) but the Product Owner does not care much about?","Try to convince Product Owner to add stories for non-functional activities in the product backlog","Add estimates of all activities, taking into account the time spent in non-functional activities",Incorrect,"Non-functional activities like frequent integration, code review, test automation, etc. help the team manage risk and improve the quality of the product. The effort spent on such non-functional activities must be taken into consideration while estimating functional work items (features)."
132,"During Daily Scrum meeting, a junior developer (A) shares that he is stuck on an important task. A senior developer (B) who has worked on a similar item in the past offers to help. As an Agile Practitioner, what step should you take?","Request developer A and developer B to work on this task in pair-programming mode","Request them to discuss the problem right after the Daily Scrum",Incorrect,"Daily Scrum is a good platform to raise impediments and identify who could possibly help, though the solution discussions must be kept short. 'Right after the Daily Scrum' is a good time to discuss the details of possible solution options."
133,"A developer has just learnt a better way of developing a feature the team just finished. He shared the details with the Scrum Master to show the possibility of improving the performance by a factor of two or more. How should the Scrum Master try to utilize this learning?","Ask the Product Owner to add a technical story to refactor the feature just completed and prioritize for a future iteration.","Share the details with team and discuss what to do about it.",Incorrect,"In an Agile project environment, development team is the best judge on technical decisions. Scrum Master should facilitate in creating an environment where knowledge is shared openly and decisions are takes with team consensus."
134,"Due to the organizational constraints, some of the agile team members are in different parts of the country, while other team members are co-located in the same building of the organization. Which of the following agile technique would establish better communication among the team members?","Setting up a war room with the video conferencing capability","Setting up a war room with the video conferencing capability",Correct,"Virtual co-location is an environment in which distributed teams take help of digital tools to imitate the physical colocation. The goal of virtual colocation is to get as much close as possible to get a feel of face to face communication."
135,"An agile practitioner is planning to share the project status with stakeholders. What approach should the agile practitioner take?","Use highly visible posters, displayed in a central location","Use highly visible posters, displayed in a central location",Correct,"Agile projects encourage visibility (transparency). Except when absolutely necessary, nothing should be on a 'need-to-know' basis for these projects. Also called a 'big visible chart', the Agile Alliance states that an information radiator is ""the generic term for any of a number of handwritten, drawn, printed or electronic displays which a team places in a highly visible location, so that all team members, as well as passers-by, can see the latest information at a glance: count of automated tests, velocity, incident reports, continuous integration status, and so on."" Agile Practice Guide, Project Management Institute Inc., 2017, Page(s) 152"
136,"You are a project manager of a software development project that is following agile –scrum framework. The product owner and the development team has finalized a clear sprint goal for the upcoming sprint. Who determines how the scrum team will accomplish the goal?","Product owner.","The development team.",Incorrect,"In agile projects, the development teams are self-organized and cross-functional. They are empowered to organize and manage their work. No one tells the development team how to turn product backlog into increments of potentially releasable functionality. The cross-functional team works together to accomplish the sprint goal. Agile Practice Guide - Project Management Institute Inc., 2017, Page(s) – 40-41."
137,"During the last sprint of a software development project which is being executed by following scrum framework, a key stakeholder requests a change which may improve the performance of the final product but may also affect the planned schedule. What should the product owner do?","Analyze the new requirement with the team and check options for refactoring.","Analyze the new requirement with the team and check options for refactoring.",Correct,"As per the scenario stated in the question, the stakeholder has requested a change (non – functional requirement) which may cause performance improvement. Analyzing the request with the team and identifying options for refactoring is the best choice among all options. Agile Practice Guide - Project Management Institute Inc., 2017, Page(s) – 9, 153."
138,"While the team is prioritizing features for the next iteration, they drop some feature from backlog, which features should the agile team drop it?","Low risk and low value","High risk and low value",Incorrect,"The agile team should drop the feature has High-risk and low-value. An ordering of priorities is illustrated follows: 1. High business value, high risk. 2. High business value, low risk. 3. Low business value, low risk. 4. Low business value, high risk."
139,"You are project Manager and have been participating in initial discussion with product Managers, business and architect team to reach an agreement on work in progress limit for your team. After analyzing the nature of work and other parameters you have proposed a Work in progress limit of 50 however Business stakeholders want WIP in progress limit to be increased to 75 as there is need to faster time to market. As a Project manager what are the factors you should consider before deciding on WIP limits?","WIP limits are mostly influenced by Queue size and needs to be determined during the course of the project as more information is available to team","WIP limits is influenced by Queue and buffer size , both of these needs to be empirically adjusted as required as the project progresses",Incorrect,"WIP limit is influenced by Queue and buffer size, however it is not recommended to arrive at an accurate WIP and potentially delay the rollout of the project, recommended approach is to empirically adjust through observations."
140,"During Sprint Review, customer wants some enhancements to a feature that was completed during the Sprint and was accepted by the Product Owner. How should the team deal with such changes?","Mark the current story as 'Done' and create a new story for new enhancements.","Mark the current story as 'Done' and create a new story for new enhancements.",Correct,"Since these changes are enhancements, not defects, the current story should be marked as done. The requested enhancements must go into product backlog as new stories, to be prioritized, estimated and scheduled in due course of time."
141,"The Scrum Master has been a technical architect in his previous role. During a Sprint Planning session, he notices team is opting for a solution approach that he feels has a high risk of failure. What should the Scrum Master do?","Share his apprehensions with the team and let them take the final decision.","Share his apprehensions with the team and let them take the final decision.",Correct,"Transparency and collective decision making are key characteristics of Agile methods."
142,"You are working as a product owner and part of the project that is assigned to you now is to get a piece of the project from a vendor. One of the vendors invites you for a special dinner to discuss this area of the project. What should be your reply to this invitation?","Politely reject the invitation and request the vendor to send an official proposal","Politely reject the invitation and request the vendor to send an official proposal",Correct,"As per code of ethics, you should Politely reject the invitation and request the vendor to send an official proposal. As he is one of many vendors then all should be treated equally and wait for all proposals to study them."
143,"When is a user story (or feature) usually estimated by a Scrum team?","A user story is estimated right after its elaboration, close to execution in a Sprint.","A user story is estimated right after its elaboration, close to execution in a Sprint.",Correct,"Scrum uses the idea of progressive elaboration where a user story is elaborated and estimated just in time – close to execution."
144,"A development team continuously showing predictable velocity trends when estimating user stories of size 1, 2, or 3 points but does not have a good track record with stories sized at 5 points and above. What could be the reason behind this special bad track record?","User Stories are not self-contained and creating misunderstanding","The team is working on epics not user stories",Incorrect,"Epics are made up of multiple stories. If the estimation is above a certain threshold these needs to be further break down before it's added to a sprint. Bigger the work, more uncertainties are there as requirements becomes abstract."
145,"Oreste is managing a project release using the Scrum model and has decided to colocate the team for the duration of the project. What benefits will Oreste realize by using this approach? (Select three.)","Increase the effectiveness of team dynamics. Create a continuous learning environment at a reduced cost. Increase knowledge sharing","Increase the effectiveness of team dynamics. Create a continuous learning environment at a reduced cost. Increase knowledge sharing",Correct,"According to the Agile Practice Guide, colocation improves communication,increases knowledge sharing, enables team member commitment to each other and the project, and creates a low-cost continuous learning environment."
146,"A development team is closely working with the customer to design wireframes for each story. The every feature is going in development after the agreement of the client using these wireframes. Initial iterations went well, but in fifth iteration client simply rejected the work by saying this is not what I wanted to. What could be the reason behind the situation?","Wireframes just provides the starting point for developers to create the system","Wireframes may not necessarily always convey the working needs",Incorrect,"Yes, wireframes help to visualize how the next iteration features will look like but it is not everything as it is not working prototype. The development team is required to collaborate not only for UI but also for the intended needs behind user stories. You cannot understand all the needs just by documentation/wireframes; you need to know the actual requirements behind the iteration goal. Now it is also possible that customer has identified wrong customer needs, but the question is not indicating anything about it. Without explicit mention, we cannot assume it. Also, wireframes are just the starting point. However, the best reason is that team could not understand the working needs. If the system is simple, then wireframes can be only one form of documentation. In Agile we focus more on working software rather on documentation."
147,"What is the BEST way to estimate the cost of a project?","Create breakdown of product backlog items into tasks and get time and cost estimate from team members","Estimate project in story points and determine average velocity.",Incorrect,"Project size and average velocity give a good idea of the overall cost of a project , option C looks attractive but in agile we do not recommend to do this much advance and detail planning and we expect changes in project scope."
148,"The team is struggling to reach a consensus on the estimate for a story that involves a new technology the team is not much familiar with. What should the team do?","Since the team has low expertise in the required technology, it should use a pessimistic approach and pick the highest individual estimate.","Team should defer estimating the story and should first run a research spike to explore how this feature could be developed.",Incorrect,"The high variation in individual estimate due to uncertainty in required technical approach indicates a risk. Running a short time-boxed research spike to gain more knowledge about possible approach is a good way to handle such risks."
149,"Team who has recently started implementing KANBAN needs some advice from Agile coach on how to conduct daily standup meetings. If you are an Agile coach what would you recommend?","Daily standup meetings in KANBAN should always be like that of Scrum where every participants get chance to speak on 3 questions, what did you achieve yesterday, what did you do today and what is stopping your work","Daily standup meetings in Kanban should focus on flow of work and there should not be limit on how many should participate",Incorrect,"In Kanban going around asking 3 questions to all like in Sprint is not needed as Board explains the status as well impediments, The focus in standup is flow of work, and there is no limit on participants as kanban is usually for a larger team."
150,"It is the Sprint Planning meeting for 3rd sprint of an 8-sprint release. One user story is too large and team decides to split it into smaller stories. There are several ways team could split user stories EXCEPT:","Splitting the user stories based on the data that will be supported or based on data variations","Splitting user stories based on relative weightage of risk and business value for each of the smaller stories.",Incorrect,"Relative weightage of risk and business value is used to prioritize user stories, but is not recommended to split a user story into smaller stories."
151,"A team member has been coming late to the Daily scrum despite repeated reminders from Scrum Master. How could the Scrum Master attempt to correct this behaviour?","Enforce the late arrival penalty (monetary contribution to team fund) that the team agreed upon.","Enforce the late arrival penalty (monetary contribution to team fund) that the team agreed upon.",Correct,"If the team has already agreed upon a penalty for late arrival, it must be enforced without delay. It could be an item for retrospective only if the penalty fails to correct this behaviour."
152,"A team usually follows a 3-month release cycle with several 2-week sprints, but the customer is too busy to attend Sprint-end product reviews. He insists on release-end demo only. Do you anticipate a problem here?","Lack of timely customer feedback may result in big changes later on","Lack of timely customer feedback may result in big changes later on",Correct,"Timely customer feedback is essential to confirm if the team efforts are headed in the right direction. Delays in feedback are bound to cause rework at a later stage, often with bigger batch sizes."
