QNo,Question,Correct Answer,Selected Answer,Feedback
87,87. There is a conflict between two members on how they compete a task. The conflict is not yet escalated to the project manager and there is no impact to the project. What should the project manager do?,,Allow the project team members to find a resolution to their conflict.,"Since the conflict is not yet escalated to the project manager and there is no impact on the project, the project manager should allow the project team members to find a resolution to their conflict."
88,"88. You are a project manager managing a construction project. The project schedule is negatively impacted due to one team member’s performance. If the project’s deliverable due date are approaching, what should you do as a project manager?",,Mentor the team member,Mentor the team member is the best option and will be the first action to do. Schedule training sessions for the team member will take more time and the project is impacted negatively.
89,"89. A recently appointed project manager is in constant conflict with a senior manager. Since this is not ideal for the team, the project manager wants to resolve this. What should the project manager do?",,Request scheduled face-to-face meetings with the senior manager.,The project manager should Request scheduled face-to-face meetings with the senior manager. This is an example of problem-solving technique ( The best Conflict Resolutions technique).
90,"90. Your software development project is in initiation. The sponsor wants to take advantage of early revenue from incremental delivery and pushes to use an agile approach. However, the team is strongly opposed to agile due to strife among the team members. They insist on a predictive approach so they can work independently with individual task assignments. What is your best course of action to address these conflicts?",,Recommended to lead the project using a hybrid project management approach,"""A hybrid approach would provide the opportunity for early revenue generation through incremental delivery as requested by the sponsor while allowing the project team members to work independently with individually assigned tasks."
91,"91. A new project manager has just replaced a project manager who was managing a city street light installation project. The project is in its execution phase. During the first risk review meeting, the new project manager notices that the version of the register used by the project team members is different from the one the project manager is using. What should the project manager have done to avoid this situation?",,Validated the project artefacts,Validated the project artifacts.
92,"92. A project manager has joined a company in an unfamiliar industry and has been given a strategically important project being new, and not fully understanding the interdependences of the various departmental work items, the project manager is unsure of how to plan the project. How should the project manager proceed?",,Consult a senior project manager within the organization and request their expert judgment,Consult a senior project manager within the organization and request their expert judgment.
93,"93. An organization is transitioning from predictive to agile. Based on the requirements, the project team project estimates the budget and decides to use a fixed-price contract with its vendor. However, during the execution of the project, the requirements evolve and priorities start to change constantly, which puts the project and the estimate at completion (EAC) off by 50% what should the project manager do next?",,Meet with the stakeholders to recommend the use of a time and materials (T&M) contract to address the problem.,"TIME & MATERIAL contract is the best when you use agile project management. So, Meet with the stakeholders to recommend the use of a time and materials (T&M) contract to address the problem."
94,"94. In an agile project, the project manager finds that the team members are involved in several different projects due to budget constraints. As a project manager, what should you do?",,Request the project sponsor prioritize and if necessary allocate additional budget so the team can work on a single project,"The agile team should work on a single project. SO the project manager should Request the project sponsor to prioritize and if necessary, allocate additional budget so the team can work on a single project."
95,95. Agile project stakeholders are requiring ongoing illustration of project business value. How should the project manager proceed?,,Include demonstrations of the built portion of the product at the end of every sprint.,Sprint Review. A four-hour timebox event is held at the end of the sprint. The team demonstrates the product/changes to customers and gathers feedback on what to incorporate in the product backlog for delivery in subsequent sprints. SO Include demonstrations of the built portion of the product at the end of every sprint.
96,"96. An agile team is developing a product for a customer. In the last few iterations, the team members spent extra hours creating product documentation and reviewing the contracts with the customer. How would the team’s time been better spend?",,Creating the product increment and working with the product owner,"""Creating the product increment and working with the product owner"" is the best answer among the choices given, as it represents value to the customer and is aligned with the Agile Manifesto values of creating working software and collaborating with the customer (or with the product owner who is the voice of the customer)."
97,97. You are a project manager in a construction project. What should you do to ensure the successful delivery of the project?,,Meet with stakeholders to communicate the schedule budget and cost impact in the event of a project delay.,Identify the project’s risks and the necessary success criteria.
98,"98. A project team that is experienced in the waterfall project management approach has been assigned to their first agile project. To make the transition easier, it has been decided to keep some elements of the waterfall approach in place. During the iteration review, it was realized that a misunderstanding among the development team has led to a duplication of efforts. How might the project manager address this issue?",,Bring up the topic during the upcoming iteration retrospective,"Regularly scheduled retrospectives can be used on any project, predictive, agile, hybrid. Retrospectives provide the project team an opportunity to learn from its previous work, investigate issues, and improve and adapt their processes."
99,"99. One of your project team members doesn’t finish his tasks on time. As a project manager, what should you do next?",,Conduct one-on-one meeting the team member,The first step is to Conduct One-on-One Meeting with the team member to understand why he leaves the site early and why he does not finish his tasks on time.
100,"100. Midway through project execution, several stakeholders raised concerns about team performance and delivery. The project manager believes the project is progressing as per the approved scope, budget, and schedule. What should the project manager do next?",,Consult the communications management plan to manage stakeholder’s expectations.,"The stakeholders raise concerns about team performance and the project manager believes the project is progressing as per the approved scope, budget, and schedule. So the project manager should consult the communications management plan to manage stakeholders’ expectations."
101,"101. A project manager is assigned to an agile software development project for a large banking corporation. With the project just getting underway, the project manager has learned about new hacking tactics that present a potential threat to regulatory compliance for the project. What should the project manager do next?",,Analyze the consequences of non-compliance,"Agile practitioners often view compliance as unnecessary overhead that does not deliver value to the customer. Therefore, the project manager may consider 'minimizing' resources (time, money, team members) allocated for compliance. However, to understand the appropriate amount of resources to invest in compliance activities, the project manager should first analyze the consequences of non compliance."
102,"102. You have just been assigned to an upcoming agile project. As part of pre-project work, you review all of the organization’s policies and procedures regarding compliance. You realize that only some of them may be applicable to your project. What should you do first?",,Ensure compliance activities are included in the project schedule baseline,"The scenario describes a situation where only some compliance-related policies and procedures for an agile project will be applicable. One of the principles outlined in the Agile Manifesto states, ""Simplicity - the art of maximizing the amount of work not done - is essential."" Compliance activities represent overhead, which does not directly provide value. In keeping with an agile mindset, the project manager should minimize the overhead and only include those compliance activities that are necessary. Classifying the compliance categories is one of the tasks associated with the Business Environment domain of the Project Management Professional (PMP) Examination Content Outline. Classifying the compliance categories that have been captured in the organization's policies and procedures may be helpful in differentiating those that require the expenditure of resources and those that do not. For example, the organization may have specific guidelines for complying with union rules and activities. However, if the project underway will not have union involvement, then that entire compliance category can be disregarded."
103,"103. Based on the management’s expectations, they want to ensure that the deliverable of the first iteration helps the marketing team present the product prototype to potential customers. As a project manager, what should you do?",,Identify the minimum functionality required for the product.,The project manager should identify the minimum functionality required for the product. it’s tempting for founders to add “just one more feature” to the MVP. You should focus on delivering a minimum set of valuable features to satisfy early adopters. You should put everything else on the backlog for the time being. Option (Split the backlog into phases) not correct agile projects use iterations not phases like traditional projects. Option (Ask the sponsor to prioritize some functionalities) not correct because the product owner is responsible for prioritization. Option (increase the details of the work breakdown structure) not correct because the prototype does not need to details. Also WBS used in traditional projects.
104,"104. During a retrospective meeting, a project manager hears that hears that stakeholders have been constantly complaining at iteration demos about product feature not being delivered as requested. What advice should the project manger give to the product owner to ensure that product features are always delivered as requested?",,Validate acceptance criteria with stakeholders prior to backlog refinement.,Validate acceptance criteria with stakeholders prior to backlog refinement.
105,"105. A company is using a predictive approach for the development of a particular component as defined in the scope management plan. Due to regularly changing regulatory requirements, the development team has requested to utilize agile approaches. What should the project manager do about the development team’s request”?",,Analyze the requirements that will need to be addressed under the requested method,Analyze the requirements that will need to be addressed under the requested method.
106,"106. A new project manager observes that the project deadline is likely to be missed because there have some delays on the project due to a lack of resources. As a project manager, what should you do next?",,Review the risk management plan to identify the response strategy,"As mentioned in the question (New project manager) SO the first step, the project manager should Organize a team meeting to discuss the next course of action."
107,"107. You are a project manager for an important project. Due to a technical issue with the sub-supplier, there is a potential delay in delivery. To stay on schedule, the vendor proposed replacing the sub-supplier’s component with a similar part that is different from the one that is stipulated in the project specifications. As a project manager, what should you do next?",,Consult with a subject matter expert ( SME ) to see if the proposed change is acceptable,"As mentioned in the question ( What should you do next ) The project manager should Consult with a subject matter expert (SME) to see if the proposed change is acceptable or not then he can take the Right decision. If the proposed change is not acceptable, so the project manager should instruct the vendor to use the part that is compliant with the project specifications."
108,"108. The project team follows a hybrid framework for its delivery. During the execution of a project, the team learns of a new compliance requirement that has to be delivered before any other requirements. How should the project manager address this situation?",,Collaborate with the compliance team member to review and prioritize the requirements delivery.,Collaborate with the compliance team member to review and prioritize the requirements delivery.
109,109. You are managing a project which will provide e-learning solutions to your customer. The requirements of this project are not clearly defined in the beginning and there will be modifications based on customer feedback as the project evolves. You plan as much as you can and work based on that. You continue the planning as you learn more about the project. Which techniques will be most helpful to define activities on the project?,,Rolling wave planning,"Rolling wave planning is a form of progressive elaboration where work to be accomplished in the near term is planned in detail and future work is planned at a higher level of the WBS. Therefore, work can exist at various levels of detail, depending on where it is in the project life cycle. As more information is known about upcoming events, the near-term higher-level work packages can be decomposed further."
110,"110. You are a project manager in a software development project. The developers and the quality control team have a poor relationship, so the developers are resisting the tests. The product cannot be delivered until it has been tested and passed by quality control. As a project manager, what should you do?",,Immediately meet with the developers and quality control team to ensure that the quality standards are met.,"The project manager should be proactive and manage the conflict between the quality control department and the developers. so, the project manager should meet with the developers and quality control team to ensure that the quality standards are met."
111,"111. A customer has already signed off on a given deliverable. During later inspections, the project manager is informed that the deliverable does not conform to the local government’s regulations and that it was built this way due to an informal request from the customer. The customer denies this. What should be used to determine why the deliverable wasn’t compliant with government regulations?",,Fishbone diagram.,"As mentioned in the question (why the deliverable wasn’t compliant with government regulations) fishbone diagrams, why-why diagrams, or Ishikawa diagrams helping to identify the main or root cause of the problem."
112,"112. You are a project manager working in a multinational company. You have just been assigned to initiate a project in a new country where your company has no presence. To develop an appropriate implementation strategy, what should be considered first?",,Evaluate the environmental and regulatory factors and identify high-level risks and assumptions.,As mentioned in the question (a new country - no presence). When you are assigned to start a project in a new country. You must take into consideration the environmental and regulatory factors and identify high-level risks and assumptions to develop an appropriate implementation strategy.
113,"113. You are a project manager for a project. One of the subject matter expert (SME) that working in your project identifies an occurrence and ask you to include it in the lessons learned register. As a project manager, what should you do?",,Assign the documenting task to project team members.,The project manager should assign the documenting task to project team members.
114,114. The marketing team is transferring to using hybrid approaches for their projects. The marketing director is not knowledgeable about hybrid methodologies. And the project manager needs the director’s support as the marketing director is a key stakeholder. What should the project manager do to obtain the support?,,Mentor the marketing director on hybrid approaches.,The project manager should mentor the marketing director on hybrid approaches as the marketing director is a key stakeholder and should be managed closely.
115,115. An organization wants to transfer from a predictive to an agile approach. What strategy will help the organization with this change?,,Improve organizational readiness by addressing impediments and agile in the organization.,Improve organizational readiness by addressing impediments and agile in the organization.
116,116. Lucy is a project manager tasked with managing an infrastructure project that will consolidate five data centers into one. She pulls together a core set of experts who have worked on similar projects to discuss how scope should be managed. What tool or technique is Lucy using?,,Expert judgment,Lucy is carrying out the Plan Scope Management process and is using the expert judgment technique to help produce the scope management plan.
117,117. As Per the Burn down graph shown below the dotted burndown line is the plan. What should the team see at day 3?,,They are at risk for that delivery,"The graph shows an example of a burndown chart where the team planned to deliver 37 story points. Story points rate the relative work, risk, and complexity of a requirement or story. Many agile teams use story points to estimate effort. The dotted burndown line is the plan. The team can see by Day 3 that they are at risk for that delivery. [Practice Guide, 1st edition, page 62"
118,"118. Which of the following shows quality management issues escalated by the team, as well as recommendations for process, project, and product improvements?",,Quality reports,"Quality reports, an output of the Manage Quality process, typically include quality management issues escalated; recommendations for process, project, and product improvements; corrective actions recommendations; and summary of quality control findings."
119,119. The project manager has just determined that three functional managers with a high interest in the project hold a particularly high degree of influence in the allocation of enterprise resources. Where is the project manager likely to document this information?,,Stakeholder analysis,"The project manager is in the process of carrying out the Identify Stakeholders process. The stakeholder register, the primary output, captures the list of stakeholders and documents information about them, including any assessment information."
120,120. Which of the following represents characteristics of the Planning process group?,,Stakeholder influence is high.,"During the Planning phase of the project life cycle, stakeholder influence tends to be high, although it is highest during Initiating; costs, staffing, and chances for successful project completion tend to be low during Planning."
121,"121. You’re a project manager for Music On Demand, and you’re in the Monitor Risks process. Your project, when completed, will provide a way for owners of smartphones to purchase music on demand from the recording company you work for and download it directly to their devices. You are monitoring the risks on the project and have analyzed elements such as the risk audits, preventive actions, and corrective actions. This information might be reported in which of the following outputs of this process?",,Work performance reports,"Work performance information includes information regarding the status of risks (in the case of the Monitor Risks process), the status of change requests, and more. Work performance data and work performance reports are both inputs to this process."
122,"122. A project manager meets with a key set of experts within her project team. They express concerns over a recent scope change that was submitted by the customer, since the project is deep into the execution stages of the project life cycle. Which of the following is a valid technique that can aid the project manager in addressing the team’s concerns?",,Change control tools,"Data analysis is a tool and technique used within the Perform Integrated Change Control process, where change requests are evaluated by the change control board. As part of performing data analysis, alternatives are considered, and a cost-benefit analysis is performed to determine whether the changes proposed are worth the associated costs."
123,123. Several processes in the Monitoring and Controlling process group involve change requests. Which of the following is not true?,,Approved change requests are an input to the Control Procurements and Control Quality processes.,Approved change requests are an output of the Perform Integrated Change Control process but not of the Monitor Risks process.
124,"124. One of your project’s deliverables requires skills in business analysis. You have three resources working on the activities that need to be completed for this deliverable. Jim and John are making more in salary than Mary is. Jim tends to spend a large majority of his time on social networking sites, John is motivated by accomplishment and capability,and Mary is looking for a sense of belonging as part of the team. Which of the following statements is true?",,The Expectancy Theory says that salary isn’t a motivator regardless of pay discrepancies.,The question describes two different levels of Maslow’s Hierarchy of Needs: social needs and self-esteem needs.
125,125. A project manager has facilitated the decomposition of work packages into activities. She next carries the team through several exercises to sequence the activities and determine what and how many resources will be needed to perform the work. What is she likely to do next?,,Break down the activities into deliverables,"The project manager has performed the Define Activities, Sequence Activities, and Estimate Activity Resources processes. Next, she is likely to perform the Estimate Activity Durations process to determine how long each activity will take."
126,126. Each of the following is an example of an information management system except for which one?,,Voicemail,Information management systems are ways of distributing project information to the team. Electronic files are a method to store files and are not a distribution method.
127,127. You are in the Planning stage of the project and have just begun to generate the cost baseline. In what activity are you engaged as a project manager?,,Performing the Estimate Costs process,You are performing the Determine Budget process. The purpose of this process is to aggregate the estimated costs of individual activities or work packages to establish an authorized cost baseline.
128,"128. A product owner is working on a new product that is intended to hit the Australian market in six months, just in time for the start of the holiday season. She plans for just enough features to get the product to market. The intent is to attract early adopters and gain feedback for a larger release in China the following year. The release in Australia can best be described as:",,The minimum viable product,"The minimum viable product reflects the minimum number of features intended to roll out a product to a limited number of customers. In some cases, the MVP is a prototype that can yield feedback that will be incorporated into the finished product."
129,"129. The project manager is in the process of bringing the relevant parties together, along with a neutral party, to discuss a contested change to a procurement agreement. Which of the following is a valid tool or technique to assist the project manager in performing this activity?",,Audit,"Claims administration is a tool and technique of the Control Procurements process. This involves documenting, monitoring, and managing contested changes to the contract. Specifically, the project manager in this scenario is using arbitration, which involves bringing all parties to the table with a third, disinterested party who is not a participant in the contract to try to reach an agreement."
130,"130. While performing activities associated with controlling project and product scope, a project manager uncovers scope creep. What is the project manager likely to do next to take corrective action?",,Submit a change request and analyze the impact,"The project manager will need to analyze the impact of the scope change and what options exist, such as whether to undo what has been completed, or analyze whether the scope change should be approved. This should occur through the formal change control process via a change request."
131,131. Which of the following are types of project metrics that may be appropriate for a given project? (Choose two.),,Percentage of work completed | Defects,Example metrics might include:• Percentage of work completed• Quality and technical performance metrics• Start and finish of scheduled activities• Change requests• Defects• Actual costs and durations
132,"132. You are a project manager for Rhone Valley Importers. Your buyer has found a new product that she’s convinced will sell well in this country. Taking on this new product introduces considerable opportunity for the company but at the same time is also a considerable threat. The cost of this product exceeds anything your company has imported before, and if it doesn’t sell as well as the buyer thinks it will, the company could go into bankruptcy. You determine that a feasibility study is in order. Which of the following statements is not true?",,"A feasibility study should be conducted to determine the potential market, costs, risks, and other factors.",The project charter identifies the purpose of the project and the project or product description. It includes a summary budget and summary milestone schedule. A detailed project schedule is not part of the project charter.
133,133. Aseel is a risk manager working for a top healthcare company. She was recently brought in to support a project that has been plagued with a multitude of issues. The project sponsor informs her that the issues were a result of not implementing documented risk response plans. Aseel clarifies to the sponsor that this is not the root cause of the issues at hand but is instead caused by the most common problem with project risk management. What problem is Aseel referring to?,,"Risk triggers are not clearly documented in the risk register, causing the response plans to be ineffective.","According to the PMBOK® Guide, project teams spend effort in identifying and analyzing risks and developing risk responses but then take no action in managing the risk."
134,134. Lucy is a project manager tasked with managing an infrastructure project that will consolidate five data centers into one. Lucy is in the process of determining whether communications-related artifacts and activities that she had planned earlier had the intended effect. She also recently launched a customer satisfaction survey to get feedback on how stakeholders feel things are progressing thus far within the project. What project management process is she performing?,,Monitor Communications,The question describes the Monitor Communications process. This process involves ensuring the information needs of the project and its stakeholders are met; the project manager determines whether the communications planned are achieving the desired results.
135,"135. An Agile project team builds their schedule by pulling features from the backlog reflected on a task board as capacity to take on work becomes available. In some cases, a feature may take two weeks to complete, while in others, it takes more. What type of delivery method does this describe?",,Flow-based Agile,"A team using a flow-based agile approach, such as Kanban, focuses on developing prioritized features from the backlog. As capacity opens, the team pulls the next feature from the backlog and shifts it to the next column of the task board. They work on the feature until it is complete and then move on to the next one."
136,"136. Aseel is a developer who is interested in moving toward a career in project management. She takes on a small project that will implement a new security feature to protect her company’s internal network. To date, she has baselined the project’s scope, schedule, and budget, and she is now actively helping to resolve issues as they arise. What process is she currently performing?",,Plan Resource Management,"Aseel is currently performing the Manage Team process. This process is concerned with tracking team member performance, providing feedback, resolving issues, and managing team changes to optimize project performance."
137,137. The project management plan might require changes and updates as the Planning processes proceed. These updates are decided upon and managed through which of the following?,,Perform Integrated Change Control process,The changes to the project management plan (and subsidiary plans within it) are dispositioned and managed through the Perform Integrated Change Control process.
138,138. All of the following are true regarding project life cycles except for which one?,,"Toward the end of the project, stakeholders have the greatest chance of influencing a project.","Stakeholders have the greatest chance of influence over the project and the characteristics of the product, service, or results of the project in the early phases of the project, not the end. All other statements are true."
139,"139. A project manager has just facilitated the project change control process, which yielded 10 approved change requests. What process is he likely to perform next?",,Direct and Manage Project Work,The project manager and team are likely to execute the work associated with the approved change requests. These approved change requests are implemented through the Direct and Manage Project Work process.
140,"140. Mido and Aseel are two executives of Widgets for Life, a company providing the latest cool lifestyle gadgets. They have recently selected the next big project and have assigned you as the project manager. This activity is associated with what process group?",,Initiating,"The scenario describes the early stages of a project, which has just been selected and a project manager assigned. This occurs in the Initiating process group."
141,141. Your project sponsor has asked you for a forecast of the likely cost to complete the work of the project. Which of the following statements is true?,,"You’ll use the EAC calculation, which is part of the EVM tool and technique of the Control Costs process.","This is the estimate to complete (ETC) calculation, which will estimate the remaining work of the project. The ETC calculation is part of the forecasting tool and technique of the Control Costs process."
142,"142. As uncertainty and complexity increase in projects, so does which of the following?",,The likelihood of change,"As uncertainty in projects increases, the likelihood of change also increases. Depending on the project management approach used, wasted work and the need for rework may also increase."
143,143. Which of the following types of contract should a project manager choose when using a hybrid approach to manage the project?,,Dynamic scope,"A master service agreement allows the project manager and procurement team to create a multitiered structure when formalizing a contracting relationship. This is especially useful for hybrid project approaches, where some items will be fixed (i.e., warranties) and others will be more dynamic."
144,144. Who is responsible for determining which processes within each process group are appropriate for the project?,,The project manager and project sponsor,"The project manager and project team together are responsible for determining how best to tailor the project management processes, based on the needs of the project."
145,145. An assumption can best be described as which of the following?,,"An uncertain event or condition that, if it occurs, has a positive or negative effect on one or more of the project’s objectives","According to the PMBOK® Guide, assumptions are factors in the planning process considered to be true, real, or certain, without proof or demonstration. They are factors expected to be in place or to be in evidence."
146,146. Aseel is a senior project manager for a fitness company that is developing a new franchise model. She has just led the team through various workshops to capture requirements. What activity is she likely to perform next?,,Develop the work breakdown structure,Aseel has just carried out the Collect Requirements process and is likely to carry out the Define Scope process next.
147,"147. You work for Star Bank as a project manager. Your project is so large and risky that you’re not certain the organization should undertake it. You propose conducting a feasibility study, as its own project, to examine the benefits of the new proposed project. The feasibility study is approved and begun. Which of the following statements is not true regarding this project?",,The Initiating processes acknowledge that the next project phase should begin. The stakeholders have the most influence over the product or service of the project during this process.,"The Initiating processes are characterized by low costs, low staffing levels, decreased chances for a successful completion, high risk, and the greatest amount of stakeholder influence concerning the characteristics of the product or service of the project. Initiating acknowledges that the project or next phase of the project should begin and authorizes the assignment of resources."
148,"148. According to the PMBOK® Guide, all of the following mean the same as contract except which one?",,Purchase order,"Purchase order, memorandum of understanding, and agreement are all terms used for a contract according to the PMBOK® Guide. A procurement order is different."
149,149. Raw observations and measurements identified while carrying out activities associated with the project work describe what?,,Work performance analysis,"According to the PMBOK® Guide, work performance data refers to the raw observations and measurements identified during activities being performed to carry out the project work. This occurs as a result of processes belonging to the Executing process group."
150,"150. You work for Sergio’s, a golf equipment manufacturer. Your organization is installing some new manufacturing equipment, and you are managing the project. Some risk events have come to fruition on the project, and as a result, change requests have been submitted. You are in the Monitor Risks process and know that all of the following are true regarding this question except for which one?",,Change requests will not take the form of preventive actions because you are in the Monitoring and Controlling process group and too far into the work of the project.,Change requests may take the form of preventive or corrective actions or workarounds. It’s not too late to take preventive action in the Monitoring and Controlling process group.
151,151. The project manager has just determined that three functional managers with a high interest in the project hold a particularly high degree of influence in the allocation of enterprise resources. In what activity is the project manager involved?,,Identifying stakeholders,"The project manager is in the process of carrying out stakeholder analysis and is evaluating the level of interest and influence of stakeholders. In this scenario, the project manager is carrying out the Identify Stakeholders process."
152,"152. Aseel is a principal project manager of You’ve Got Dogs, a specialty company that creates custom dog apparel and toys. She has just concluded the Design phase and is scheduled to perform a phase review with the steering committee facilitated by the company’s PMO. Phase reviews are also called by what other name?",,PMO review,"According to the PMBOK® Guide, phase reviews are also called phase gates, phase entrances, phase exits, stage gates, and kill points. Phase reviews typically serve as checkpoints at the end of a phase where performance or progress is evaluated against the project charter or plan. Once completed, the project progresses to the next phase."
153,153. The project team recently participated in a working session to examine and document the effectiveness of risk responses in dealing with overall project risk. What project management process are they performing?,,Monitor Risks,"The purpose of the Monitor Risks process is to monitor risk response plans, track identified risks, identify and analyze new risks, and evaluate the effectiveness of the risk processes. As part of carrying out this process, risk review meetings may be held to examine and document the effectiveness of risk responses in dealing with overall project risks and individual project risks."
154,154. The difference between project deliverables and project requirements is best described in which of the following options?,,Deliverables are specific items that must be produced for the project or project phase to be considered complete; requirements are the specifications of the deliverables used to tell you whether the deliverables were produced successfully.,"Deliverables are measurable outcomes, measurable results, or specific items that must be produced before the project or project phase is considered complete. Requirements are the specifications of the deliverables and tell you how you know the deliverables were completed successfully."
155,155. Which interpersonal and team skills can a project manager use to manage the project team? (Select three.),,Conflict management | Emotional intelligence | Influencing,"Conflict management, decision-making, emotional intelligence, influencing, and leadership are all examples of interpersonal and team skills that a project manager should use to manage a team."
156,156. Two stakeholders are out of town on a business trip and are available sporadically. A third person has an extremely busy schedule and can't squeeze another lengthy meeting into his day. You believe it's important to have regular face-to-face interaction with each stakeholder. How can you accommodate their needs? (Choose two.),,Use video conferencing. | Hold a brief summarization meeting.,As per scenario given Project manager can accommodate this by using the following :Use video conferencing.Hold a brief summarization meeting.
157,157. Which feature should the team prioritize First?,,B,"Feature A High value and Low Effort. The initiatives that deliver the highest value and require the least effort will represent the top-priority items to add to your Product Backlog.Feature A = 6/2 = 3Feature B =10/4 = 2.5Feature C = 4/4= 1Feature D = 8/8= 1So, we will choose feature that has high value and low effort."
158,"158. During a project’s third iteration, two of the existing team members were replaced As the project entered the next iteration, the team velocity dropped and the performance started to slip.What should the project manager do?",,Guide the team to revert back to the forming and storming stages,Whenever any team member leaves or new team members join we go back to forming so the PM should Guide the team to revert back to the forming and storming stages.
159,"159. A project manager has been asked to calculate the payback period for her project. The project’s investment is $500,000, with expected cash inflow of $50,000 for the first two quarters and $100,000 for every quarter thereafter. What is the payback period?",,18 months,"The project will recoup its investment by month 18. To calculate, simply total the cash inflow for every quarter as indicated; payback is reached when you hit the amount of total investment."
160,"160. You are a project manager for SubZero Delights, a company that offers extraordinary experiences to travelers. You have been working hard at developing your own personal leadership skills and have recruited a mentor to help you. During a mentoring session, you ask your mentor to talk about the characteristics that good leaders exhibit. Whatcharacteristics are they likely to call out? (Select three.)",,Leaders impart vision. | Leaders are concerned with strategic plans. | Leaders are concerned with satisfying stakeholder needs.,"Good leaders use referent power, which is inferred to them by their subordinates.They are visionaries and are concerned with the big picture, or strategic direction and plans."
161,"161. You have a very energetic project team. They are motivated by results, have good conflictresolution skills, and are highly committed to the project, among other things. They have a solid understanding of the project goals and objectives and understand the direction the project is headed in. Which of the following does this describe?",,The characteristics of an effective team,This question describes the characteristics of an effective team.
162,162. Which of the following are part of an effective team charter? (Choose two.),,Shared values | Project objectives,"A team charter is defined as a document that records the team values, agreements,and operating guidelines as well as establishing clear expectations regarding acceptable behavior by project team members.Having a working agreement for the team that articulates what the team values, how the team works together, and how they make decisions enables the team to have ground rules and aid in collegial conflict resolution."
163,163. Mido is the project manager of a project that has been described as revolutionizing the mobile fitness tracking industry. He prepares for a meeting with the project’s sponsor to discuss the performance of their largest vendor. What information will Mido need to reference to provide this information?,,Data analysis,"The procurement documentation contains a variety of useful information relating to the agreement signed with a vendor, including the statement of work, payment information, performance information, and any other correspondence with the vendor. While the project management plan and agreement are two other key inputs, they alone do not provide sufficient information for the meeting with Mido . This type of discussion and analysis occurs as part of performing the Control Procurements process, and procurement documentation is a key input of the process."
164,"164. Mido is the VP of customer operations for Galactic Kidz and the project sponsor of the latest project, called Project G. He sits down with Sally, the project manager, to discuss resource utilization on the project. He expresses concern after recently hearing in the hallway that planned resources have been unavailable. Sally admits that this has been the case and that it has set the project back unexpectedly. What did Sally fail to do in this scenario?",,Keep the sponsor informed,"Sally failed to keep Mido, as the project sponsor, informed and up to date. The scenario notes that he heard of the resource gaps and had to approach Sally to get clarification."
165,165. The elements of communication are incorporated within the models of communication exchange. They are best explained as which of the following?,,"The elements of communication include senders, receivers, and messages and the communication model includes verbal and written.","The elements of communication involve senders, receivers, and messages. The communication model, a tool and technique of the Manage Communications process, includes encoding, decoding, acknowledging, and feedback/response. Verbal and written are forms of communication."
166,"166. The project manager has just determined that three functional managers with a high interest in the project hold a particularly high degree of influence in the allocation of enterprise resources. Armed with this new information, she updates her salience model and considers how it impacts the project. In what activity is the project manager engaged?",,Stakeholder analysis,"The project manager is in the process of carrying out the Identify Stakeholders process. As part of this process, stakeholder analysis is performed. Stakeholder analysis and identification should occur regularly throughout the project’s life cycle."
167,"167. You are a project manager working on a project involving a new scientific discovery in conjunction with your local university. Because of some changes that were approved during the Monitoring and Controlling processes, you discover that the descriptions of the deliverables that make up the final product of the project are no longer accurate or complete. Which of the following will you use to track the changes to the deliverables and ensure their descriptions are accurate and complete, and what process is this associated with?",,Scope change control system in Control Scope,"The configuration management system, used in the Perform Integrated Change Control process, documents the physical characteristics of the product of the project and ensures that the description is accurate and complete."
168,"168. You have received proposals in response to your recent RFP. The following types of information were used by your evaluation team to rate the vendors: availability, experience, and training. Experience was given the most weight, 5. Availability was assigned a weight of 3, and training was assigned a weight of 2. Vendor A scored the following: availability as 4, experience as 2, and training as 2. Vendor B scored the following: availability as 3, experience as 4, and training as 4. Which vendor won the bid, and what was the final score?",,"Vendor B, final score 37","This is describing a weighting system technique. Vendor B had a final score of 37, and vendor A had a final score of 26. For each vendor, multiply each score by its weight, and add the results to obtain that vendor’s final score."
169,169. A project manager is preparing to obtain the resources needed to perform the work of the project. What project document is the project manager likely to reference as a guide to both acquiring and managing the project resources?,,Resource management plan,"While the project management plan is technically a correct answer, the question specifically refers to the resource management plan (a component of the project management plan)."
170,"170. Which process is concerned with effectively engaging stakeholders, understanding their needs and interests, understanding the good and bad things they bring to the project, and understanding how the project will affect them?",,Manage Stakeholder Engagement,"Plan Stakeholder Engagement is concerned with effectively engaging stakeholders, understanding their needs and interests, understanding the good and bad things they bring to the project, and understanding how the project will affect them."
