Question Number,Question Text,Option A,Option B,Option C,Option D,Correct Answer,User Answer,Result,Feedback
63,"A program manager is reviewing the cost drivers in the COCOMO II model and notices that the most heavily weighted factor is ""People,"" significantly outweighing tools, schedule, or even product characteristics. What does this indicate about managing project costs effectively?","Investing in automation and tooling will yield the greatest cost savings","Improving team capability and motivation will have the highest impact","Scheduling techniques and reuse planning are the most cost-efficient strategies","Design standardization is more valuable than team dynamics",B,B,1/1,"Focusing on building a skilled, motivated team delivers the greatest benefit in controlling project costs, according to COCOMO II."
64,"An Agile team uses a control chart to monitor their cycle times. Over several iterations, they notice a data point that falls outside the upper control limit. What should the team interpret from this observation?","The team has improved performance","The project scope has expanded","A special cause of variation may have occurred","The team should immediately increase WIP limits",C,A,0/1,"Observing data outside control limits helps Agile teams detect special causes of variation early, enabling proactive investigation and resolution."
65,"You're leading an Agile project and want to ensure that everyone on the team has a consistent understanding of what ""done"" means for each backlog item. Some team members have completed work that doesn't meet expectations due to differing interpretations of completion. What should the project manager do to establish a consistent standard?","Establish a Definition of Done for user stories, releases, and final deliverables","Assign a quality assurance lead to review all completed items for consistency","Allow each developer to define what ""done"" means for their assigned tasks","Require all backlog items to be peer-reviewed by other team members",A,A,1/1,"Establishing a Definition of Done ensures a consistent understanding of completion criteria across the team and supports quality, alignment, and efficiency."
66,"A newly formed Agile team is struggling with poor collaboration. Team members often work in isolation, communication is infrequent, and decisions are made inconsistently. What should the project manager do to help the team work together more effectively?","Assign specific tasks to each team member based on their expertise","Schedule daily one-on-one check-ins with each team member","Implement stricter communication rules to ensure participation","Promote cross-functional collaboration and define team working agreements",D,D,1/1,"Creating shared working agreements and promoting collaborative practices aligns team members around a common vision and breaks down barriers to effective teamwork."
67,"During a release planning meeting, the project manager asks the stakeholders to imagine that the upcoming product release has already been successful. The team discusses what outcomes made it a success and how they achieved them. Which collaboration game is the project manager using?","Sailboat","Buy a Feature","Prune the Product Tree","Remember the Future",D,D,1/1,"Remember the Future is the most appropriate collaboration game here, as it helps the team reverse engineer a vision of success by asking stakeholders to reflect on what made a future release effectively."
68,"A new team member who recently transitioned from a heavily process-driven organization expresses confusion about Agile's priorities. They notice that the team seems to focus more on conversations, working code, and quick decisions rather than detailed plans and extensive documentation. What should the agile project manager do?","Clarify that Agile eliminates the need for documentation and contracts, replacing them with constant verbal communication","Explain that Agile values individuals and interactions, working software, customer collaboration, and responding to change more than rigid processes, documentation, and plans","Emphasize that Agile teams avoid following any plan in order to stay flexible","Recommend shifting to a hybrid approach that minimizes stakeholder involvement to streamline decision-making",B,B,1/1,"Agile values collaboration, working solutions, and adaptability over rigid processes and documentation, focusing on what delivers the most value to customers."
69,"During development of a new system, the Agile team is struggling to align on how information such as customer and address data should be stored and linked. The team is using user stories and has a general understanding of requirements, but is experiencing confusion about relationships between data elements. What tool should the project manager recommend to clarify these relationships?","Use agile modeling to create data models","Develop use case diagrams to show user interactions with the system","Create a wireframe to visualize the user interface","Organize a stakeholder workshop to rewrite the user stories",A,B,0/1,"Using agile modeling to create data models helps the team clarify how system entities relate, enabling better design and development of the application."
70,"During a kickoff meeting, a stakeholder unfamiliar with Agile asks the agile project manager to clarify which delivery approaches fall under the Agile umbrella. The stakeholder mentions hearing terms like Extreme Programming, Lean, Kanban, and Waterfall but isn't sure which ones actually use Agile principles. What should the agile project manager do?","Clarify that only Extreme Programming qualifies as Agile, since the others are either manufacturing approaches or traditional methods","Explain that Extreme Programming, Lean Development, and Kanban are Agile approaches, while Waterfall is a traditional, plan-driven methodology","Emphasize that all four approaches can be customized for Agile use depending on the organization's maturity and flexibility","State that none of the approaches are strictly Agile unless implemented within a Scrum framework",B,B,1/1,"Extreme Programming, Lean, and Kanban align with Agile principles, while Waterfall follows a traditional, non-Agile approach."
71,"An agile project manager is working with a new team that is still in the the forming stage. Jeam members are unclear about roles, avoid conflict, and seek guidance frequently. What leadership style should the project manager adopt to best support the team at this stage?","Delegating","Coaching","Directing","Supporting",C,B,0/1,"Using a directive leadership style during the forming stage helps the team establish structure, clarity, and confidence as they begin working together."
72,"During a planning session, a product sponsor asks the agile project manager why the team cannot commit to a fixed scope for the upcoming release, especially since the budget and timeline are already approved. The sponsor is used to traditional project models where scope is locked early. What should the agile project manager do?","Explain that Agile inverts the traditional triangle by fixing time and cost while allowing scope to vary based on value and priorities","Recommend fixing scope and adjusting the budget and schedule dynamically throughout the project","Clarify that Agile does not plan for time or cost because it operates in a reactive cycle","Suggest building all features first and extending the timeline as needed to match the scope",A,A,1/1,"Agile fixes time and cost while allowing scope to evolve, enabling teams to deliver the highest-value work within approved constraints."
73,"Mid-sprint, a team discovers that some completed tasks don't align with the sprint goal due to misunderstood requirements. The agile project manager wants to help the team recover and improve. What should the agile project manager do?","Postpone changes until the next sprint to avoid disrupting the team's current work","Encourage the team to continue and use retrospectives to address the issue later","Encourage timely inspection and real time adaptation to correct course","Assign a new team lead to oversee communication and prevent further misunderstandings",C,C,1/1,"By reinforcing transparency, inspection, and adaptation, Agile teams can respond to issues in real time and stay aligned with their goals."
74,"During a release planning session, the product owner is struggling to prioritize backlog items that all seem important. Several stakeholders are present, each with different opinions about which features are most valuable. The Agile project manager wants to guide the group toward a collaborative, value-driven prioritization approach. What should the Agile project manager do?","Ask the stakeholders to defer to the product owner and revisit prioritization offline","Use the team's velocity and capacity data to estimate how many features can be delivered","Apply risk-adjusted backlog scoring to elevate low-risk, high-value items","Facilitate a prioritization session using a technique like dot voting, MOSCOW, or the 100-point method",D,D,1/1,"Agile project managers support effective release planning by using structured, participatory methods to align priorities around customer value."
75,"A company traditionally waits until full product completion before performing any financial review or requesting additional funding. On a new Agile initiative, the leadership team wants to adapt their approach to better align with Agile principles and enable faster value delivery. What should the Agile project manager recommend?","Continue with traditional accounting and request all funding upfront to avoid delays","Present a full-feature roadmap to justify major capital investment at the beginning of the project","Adopt Agile accounting practices by delivering a minimal viable product and securing incremental funding based on delivered value","Wait until after product release to evaluate whether any accounting changes are needed",C,C,1/1,"By aligning financial practices with Agile principles - focusing on MVPs and incremental value delivery the organization enables more adaptive, value-focused project funding."
76,"A product owner is concerned about paying too much for Agile work that might extend beyond the original estimate. To manage this, the project manager proposes an agreement where the vender is paid more for early completion, the standard rate for on-time delivery, and less if they finish late. What type of Agile contract is the project manager proposing?","Fixed Price Work Package","Graduated Fixed Price Contract","Cost-Reimbursable with Incentives","Time and Materials with Performance Clauses",B,A,0/1,"A Graduated Fixed Price Contract enables shared risk and reward while encouraging timely delivery-making it ideal for managing Agile performance expectations."
77,"During a team retrospective, several members mention that the digital Gantt chart used by management is confusing and disconnected from their daily work. The team has a whiteboard with sticky notes they update daily, which stakeholders rarely see. The Agile project manager wants to bridge this gap while supporting Agile values. What should the Agile project manager do?","Assign a business analyst to maintain both the digital Gantt chart and the physical board","Train the team to better align their board updates with the Gantt chart milestones","Propose replacing the Gantt chart with a physical or digital Kanban board that everyone can use and see","Ask management to stop requesting updates from the team and only use the Gantt chart for planning",C,C,1/1,"Agile project managers encourage the use of tools that foster collaboration, visibility, and shared understanding. Transitioning to a Kanban board supports these goals and aligns with Agile values."
78,"You're leading an Agile team that is preparing to develop a new feature for a student management system. One of your product owners suggests creating simple screen sketches that show the layout of the interface before development begins. The team agrees that this would help clarify expectations and reduce miscommunication. What Agile modeling technique should the team use to accomplish this?","Data model diagrams","Use case diagrams","Screen designs","Personas",C,C,1/1,"Using screen designs helps the Agile team build a shared understanding of the interface and improves early collaboration, reducing rework later in development."
79,"A stakeholder asks why the Agile team doesn't lock down requirements before starting development. They are concerned that accommodating changes late in the project will lead to delays and budget overruns. What should the agile project manager do?","Explain that Agile defines all requirements during sprint planning and resists changes after development begins","Emphasize that Agile locks down scope during release planning to stabilize delivery and limit scope creep","Recommend finalizing all backlog items before the team begins work to improve predictability","Clarify that Agile welcomes changing requirements-even late in development-because adapting to change supports customer value and competitive advantage",D,D,1/1,"Agile welcomes changing requirements-even late in development-because flexibility enables tha to deliver greater customer value and stay aligned with evolving business needs."
80,"A distributed Agile team struggles with staying aligned on project progress. Some team members report feeling out of the loop, while others are unsure about current risks or blockers. What should the Agile practitioner do to address this issue?","Use information radiators to share project status, risks, and blockers in real time","Schedule daily status meetings to update everyone regardless of time zones","Appoint a liaison to consolidate and distribute updates to team members","Assign team leads in each time zone to manage local progress and coordination",A,A,1/1,"Making status and risks visible through information radiators ensures shared understanding, fosters collaboration, and supports team alignment in distributed environments."
81,"A project team identifies several risks and technical constraints during an iteration that could delay product delivery. The project manager collaborates with the team to brainstorm solutions and prioritizes resolving the most critical issues first. Which approach is the project manager following?","Assigning each risk to individual team members to manage independently","Waiting until impediments block progress before addressing them","Focusing only on risks identified in the original risk register","Proactively identifying and prioritizing critical risks and impediments with team input",D,D,1/1,"Proactively identifying and addressing high-impact risks and impediments with team collaboratior supports continuous delivery and minimizes delays."
82,"A team is preparing for a process improvement workshop to reduce inefficiencies in their delivery cycle. They decide to use a value stream map to assess each step of their workflow and identify where value is added versus where delays or rework occur. Which technique are they applying to identify waste?","Retrospective data analysis","Visualizing the end-to-end value flow","Kanban flow limit enforcement","User story mapping to prioritize value",B,A,0/1,"By mapping the entire workflow to identify and reduce non-value-added activities, the team effectively applies a value stream approach to eliminate waste and optimize delivery."
83,"During an Agile planning workshop, the team is brainstorming ways to visualize the new user portal. A UX designer suggests creating a quick, low-fidelity representation of the layout that can be adjusted easily as feedback is received. The goal is to clarify the shared understanding of what ""done"" looks like and validate the design before development begins. Which tool is the UX designer recommending?","Acceptance criteria","Persona profiles","Wireframes","Definition of ready",C,C,1/1,"Wireframes allow Agile teams to visualize and validate concepts quickly, ensuring alignment on deliverables before development starts."
84,"During a planning session, the Agile team uses brief fictional profiles to better understand user motivations and ensure they're developing valuable features. These profiles are designed to ground discussions in real user needs and behaviors. What technique is the team using to help clarify and prioritize features?","Personas","User story mapping","Wireframes","Value stream mapping",A,B,0/1,"By using personas, the team grounds its decisions in real user perspectives, helping them prioritize features that provide meaningful value."
85,"While mentoring a junior project manager transitioning from a traditional environment, the agile project manager is asked why Agile is often considered more responsive and customer-focused. The junior manager is used to delivering everything at the end of a project and following a fixed plan. What should the agile project manager do?","Recommend that Agile projects avoid too much planning to encourage spontaneity and innovation","Emphasize that Agile discourages change requests to maintain project control","Clarify that Agile builds the entire product upfront but delivers it in small marketing phases","Explain that Agile delivers in increments, plans continuously, welcomes change, and allows customers to see value earlier in the process",D,D,1/1,"Agile delivers value early and often by planning continuously, embracing change, and involving customers throughout the process, making it more responsive and customer-focused than traditional method."
86,"A stakeholder expresses concern that written documentation and email updates are not helping them stay informed about project developments. They mention that even video recordings fail to give them the clarity they need, leading to misunderstandings and frustration. What should the project manager do to improve communication clarity and stakeholder understanding?","Schedule more formal status updates using video recordings to reinforce written documentation","Increase the use of face-to-face conversations to improve clarity and engagement","Assign a communication liaison to ensure messages are interpreted correctly","Provide weekly summaries via email with visual progress indicators and action items",B,B,1/1,"Face-to-face communication fosters the highest level of understanding and feedback, making it the most effective approach when stakeholders are struggling to interpret other communication method."
87,"An Agile team is struggling to keep track of their progress. Stakeholders frequently ask for updates, and developers spend time answering questions instead of focusing on work. The team uses a Kanban board, but it's often outdated. What should the Agile practitioner do to improve transparency?","Schedule daily status meetings with stakeholders to keep them informed","Help the team set up a routine for maintaining the Kanban board with current data","Switch to using burndown charts since Kanban isn't working for the team","Assign a team member to manually send updates to stakeholders each day",B,B,1/1,"Establishing a consistent process for updating work visualization tools ensures transparency, reduce unnecessary interruptions, and promotes shared understanding among team members and stakeholders."
88,"During a review session, several team members express that they don't always feel heard when they raise concerns or offer suggestions. Others say they're unsure where to find up-to-date <project information. What should the project manager do to strengthen collaboration and information sharing?","Schedule recurring one-on-one check-ins to ensure each team member has a chance to speak","Centralize project documentation in a shared digital workspace and send reminders","Assign a team member as a liaison to gather feedback and relay it to the project manager","Promote two-way communication and use visual tools like Kanban boards and whiteboards for shared understanding",D,D,1/1,"Using two-way communication and shared visual tools strengthens collaboration, makes project information more accessible, and creates a more engaged Agile environment."
89,"An enterprise is looking to scale its Agile practices across multiple large, distributed teams and departments. The organization wants a framework that aligns product development, Agile software practices, and systems thinking at a company-wide level. Which Agile approach is most suitable?","Crystal","Feature-Driven Development","Kanban","Scaled Agile Framework (SAFe®)",D,D,1/1,"Scaled Agile Framework (SAFe®) is the most appropriate choice for enterprises aiming to coordinate Agile practices across large, distributed teams while managing all aspects of the organization."
90,"During a sprint retrospective, the team has just completed its review of what went well and what could be improved. The product owner is eager to move forward but notices the team hasn't yet created a plan for incorporating the lessons learned. What should the team do next?","Develop an action plan for process improvements to implement in the next sprint","Review the product backlog and reprioritize based on stakeholder input","Begin planning the next sprint to avoid delays in delivery","Ask the product owner to schedule a follow-up meeting to discuss improvements",A,A,0/1,"Developing an action plan for improvements completes the purpose of the retrospective and ensures lessons learned are directly applied to the next sprint."
91,"While leading an Agile project, the project manager observes that stakeholders frequently request updates but seem unaware of progress already posted in the project room. What communication tool would best increase visibility and reduce these redundant update requests?","Schedule weekly presentations to summarize progress for all stakeholders","Set up and maintain clear, visible information radiators such as task boards or charts","Use a group messaging app to share real-time status updates","Post visual progress reports on the team's social media platform",B,A,0/1,"Information radiators improve transparency and stakeholder awareness, making them the most effective tool for minimizing redundant status requests in Agile projects."
92,"During a sprint review, the Agile project manager notices that the team's digital task board hasn't been updated in days. Only one person on the team regularly enters updates, while the rest ignore it. As a result, stakeholders are confused about progress and team members seem disengaged. What should the Agile project manager do?","Assign a team member to update the board daily to ensure accurate reporting","Replace the tool with a more automated project tracking system","Request that the product owner provide a summary of progress at each review","Transition to a physical task board or interactive team whiteboard to promote shared ownership and visibility",D,A,0/1,"Agile teams benefit from collaborative, visible tools that everyone can interact with. Shifting to a low-tech, shared board increases engagement, fosters transparency, and aligns with Agile principles."
93,"A project manager is facilitating a user story workshop with a diverse group of stakeholders. To keep the session productive, they encourage all participants to contribute within the first few minutes and use a round-robin approach to prevent dominant voices from taking over. What key principle is the project manager applying?","Focus on continuous improvement","Prioritize stakeholder influence","Enable inclusive collaboration","Establish shared ownership",C,A,0/1,"By fostering balanced participation and encouraging input from all voices, the project manager exemplifies inclusive collaboration."
94,"During a sprint retrospective, two developers strongly disagree on how to approach testing in future sprints. Their discussion becomes heated, and the rest of the team grows uncomfortable. The Agile project manager is concerned about the tension but also sees that both developers are offering valid viewpoints that could improve team performance. What should the Agile project manager do?","Encourage the team to explore both perspectives constructively and facilitate a follow-up discussion","Take over the discussion and make a decision to prevent further argument","Meet with each developer privately after the retrospective to de-escalate tension","End the retrospective early to prevent further conflict and plan a cooling-off period",A,A,1/1,"By encouraging constructive dialogue during conflict, the Agile project manager reinforces psychological safety, supports team learning, and models effective Agile leadership."
95,"While facilitating a brainstorming session to generate ideas for a new product feature, the project manager encourages the team to shout out thoughts freely without raising hands or waiting for turns. Although energetic, some quieter team members remain silent and visibly uncomfortable. Which facilitation technique would be most effective in encouraging full participation?","Continue the free-for-all method to maintain spontaneity","Ask the team to vote on the best ideas immediately","Allow side discussions to encourage informal sharing","Use quiet writing followed by round-robin sharing",D,D,1/1,"Quiet writing followed by round-robin sharing promotes inclusive engagement and balanced contribution, making it the most effective facilitation approach in this scenario."
96,"During a collaborative workshop, the project manager wants to help the team identify unnecessary or outdated features in the product backlog and encourage creative thinking about future possibilities. The team is asked to represent features as branches and remove those that no longer support the product vision. Which collaboration game is being used?","Remember the Future","Prune the Product Tree","Speedboat (Sailboat)","Buy a Feature",B,B,1/1,"Prune the Product Tree is the most effective game in this scenario, as it directly aligns with identifying and eliminating outdated features to focus the product backlog."
97,"A software team uses a visual board to track the status of tasks through stages like ""In Progress,"" ""Testing,"" and ""Done."" They also limit how many items can be in each stage to reduce bottlenecks and improve flow. Which Agile method is the team using?","Scrum","Lean","Kanban","Crystal",C,C,1/1,"The use of a visual board and WIP limits indicates the team is following Kanban, which is designed to manage workflow and reduce bottlenecks."
98,"A project sponsor asks for a quick summary of how the Agile team is progressing toward completion, how much work remains, and whether the project is on track to finish on time and within budget. The Agile project manager wants to provide objective, metric-based insight. What should the Agile project manager do?","Use key performance indicators (KPIs) such as velocity remaining backlog effort, and projected completion date","Refer to the team's most recent retrospective notes to explain current challenges and improvements","Share the iteration burnup chart to show what has been delivered during the current sprint","Explain the team's Agile values and emphasize their commitment to continuous improvement",A,A,1/1,"KPIs offer a clear, data-driven way to assess progress and forecast outcomes. Agile project managers use them to provide transparency and support effective decision-making."
99,"A developer has been unusually quiet during team meetings. The project manager privately checks in and discovers the developer is feeling overwhelmed and frustrated. The project manager listens, acknowledges their emotions, and works with them to adjust their workload and regain motivation. What soft skill is the project manager demonstrating?","Emotional Intelligence","Conflict Resolution","Active Listening","Negotiation",A,A,1/1,"The project manager's actions reflect emotional intelligence by identifying emotional signals, responding with empathy, and taking appropriate action to support the team member."
100,"During a project review meeting, a team member expresses concern about delays in completing user stories. The project manager not only listens to the words but also notices the speaker's body language and tone, responding with empathy and understanding. What type of listening is the project manager demonstrating?","Level 1 - Internal Listening","Level 2 - Focused Listening","Level 3 - Global Listening","Reflective Listening",C,B,0/1,"The project manager demonstrates Level 3 Global Listening by actively engaging with both verbal and nonverbal cues, promoting empathy and deeper understanding."
101,"A project manager is facilitating a stakeholder workshop to define project requirements. To ensure the meeting runs smoothly and productively, the project manager establishes ground rules, sets clear goals, manages timing, and offers guidance when needed. Which skill is the project manager demonstrating?","Participatory Leadership","Facilitation","Conflict Resolution","Workshop Planning",B,B,1/1,"The project manager is applying facilitation skills to guide the workshop toward its objectives while ensuring inclusive and structured participation."
102,"Two senior developers disagree on the design approach for a critical feature. The discussion begins as a healthy debate but escalates into personal attacks, each arguing that the other's solution would ruin the project. What level of conflict does this situation represent?","Level 1 Problem to solve","Level 2-Disagreement","Level B - Contest","Level 5- World War",C,A,0/1,"The situation reflects Level 3 conflict because the focus has shifted from collaboration to winning, which requires conflict resolution before it escalates further."
103,"During a sprint, the development team struggles to resolve an internal disagreement about how to implement a technical feature. The Agile project manager steps in to facilitate the discussion, encourages team members to listen actively, and helps them reach a consensus without imposing a solution. What role is the Agile project manager demonstrating in this situation?","Product backlog manager","Servant leader and coach","Technical decision maker","Stakeholder proxy",B,B,1/1,"By supporting collaboration without taking control, the Agile project manager exemplifies the servant leader and coaching role essential to effective Agile facilitation."
104,"During a team meeting, the project manager reminds the group that the success of the project depends more on how well the team collaborates than on which task management tools they use. What principle is the project manager emphasizing?","Processes drive consistent results","Tools are required for Agile compliance","Documentation enables traceability","Individuals and interactions over processes and tools",D,D,1/1,"By prioritizing collaboration and team dynamics, the project manager is aligning with Agile values that recognize people as the key drivers of project success."
105,"A product owner is meeting with the Agile team to clarify the acceptance criteria for several backlog items. They ensure the items are prioritized correctly and explain the release schedule during the planning session. What is the product owner primarily responsible for in this scenario?","Tracking team velocity and allocating tasks accordingly","Approving budget and resource usage for upcoming iterations","Managing the product backlog and ensuring shared understanding","Assigning story points and technical estimates for each user story",C,C,1/1,"By defining acceptance criteria and ensuring backlog clarity and prioritization, the product owner fulfilling their role in managing the product backlog and aligning the team's work with customer needs."
106,"Each morning, the development team gathers in the same location for a short meeting. Each member shares what they accomplished yesterday, what they plan to do today, and any blockers they are facing. Which Agile practice is this team using?","Sprint Planning","Daily Scrum","Sprint Retrospective","Scrum of Scrums",B,B,1/1,"The scenario clearly aligns with the Daily Scrum format, where each member provides updates and identifies blockers to support team synchronization."
107,"At the beginning of a new sprint, the Scrum team gathers to determine what can be accomplished and how to structure their work. The project manager encourages the team to reflect on their past capacity and organize their approach. What event is the team participating in?","Sprint retrospective","Product backlog refinement","Sprint review","Sprint planning meeting",D,D,1/1,"The sprint planning meeting aligns the team on what to accomplish and how to approach it, setting a clear foundation for the upcoming sprint."
108,"You're working with a newly formed Agile team tasked with building an innovative product in an emerging market. Stakeholders are unsure whether the solution truly meets customer needs. What should the team do first?","Begin building all planned features to deliver maximum value at launch","Schedule weekly meetings with stakeholders to review project progress","Develop a small product increment to test and validate market demand","Wait until full requirements are gathered before beginning development",C,C,1/1,"Developing an early product increment enables quick feedback and ensures the team is solving the right problem, aligning with the principle of experimentation and learning early."
109,"An Agile team is preparing to launch a new mobile app. The marketing department wants every planned feature included in the first release to make a strong impression. However, the development team is concerned about delays and risk. The Agile project manager wants to balance early delivery with stakeholder expectations. What should the Agile project manager do?","Recommend releasing a minimal viable product (MVP) with core functionality that provides immediate value","Postpone the release date to accommodate all features in a single, polished launch","Ask marketing to remove low-priority features without input from the rest of the team","Build a prototype with mocked-up screens to satisfy stakeholders while development continues",A,A,1/1,"By focusing on MVP delivery, Agile project managers ensure the team delivers usable functionality quickly while continuing to evolve the product based on real user feedback."
110,"A Scrum team is preparing for the next development cycle. The product owner confirms that the team will remain unchanged, and no mid-sprint adjustments will be accepted once work begins. The team sets a 3-week window to produce a potentially shippable product increment. What does this situation best describe?","Daily Scrum","Backlog grooming","Sprint","Scrum of Scrums",C,C,1/1,"The timebox, fixed team, and no mid-sprint changes clearly indicate that this scenario describes a sprint."
111,"During a daily standup, the project manager notices a usually energetic developer is unusually quiet, avoids eye contact, and finishes the update quickly without offering input on team issues. What should the project manager do to support the team member and maintain a healthy team environment?","Wait until the next sprint review to see if performance changes","Publicly ask the developer during the meeting to elaborate on their update","Privately check in with the developer to better understand any unspoken concerns","Escalate the observation to HR to assess potential personal issues",C,C,1/1,"By privately addressing the issue with empathy and attention to non-verbal cues, the project manager supports team well-being and proactively nurtures a collaborative team environment."
112,"During a sprint review, stakeholders express concern that a critical feature demonstrated by the team is not aligned with their expectations. The feature works, but it does not address the business need they originally described. What should the project manager do to ensure future deliverables better align with stakeholder expectations?","Facilitate more frequent and collaborative backlog refinement sessions with stakeholders","Ask the stakeholders to clarify their expectations in writing before the next sprint","Instruct the team to add more documentation and user stories to clarify deliverables","Limit stakeholder involvement until after product increments are fully developed",A,A,1/1,"Facilitating regular and collaborative backlog refinement keeps stakeholders involved, ensures that priorities are continuously adjusted to match business needs, and prevents future misalignment."
113,"An agile project team has been receiving inconsistent feedback from stakeholders, leading to misunderstandings about what features should be included and when they are considered complete. What should the project manager do to align the team and stakeholders around a common understanding?","Create a communication management plan to regulate stakeholder input","Establish a shared vision using tools like agile modeling, personas, and the definition of ""done""","Extend the iteration length to allow more time for clarification","Allow each team member to interpret stakeholder needs independently and report back weekly",B,B,1/1,"Using collaborative tools to establish a shared vision ensures consistent expectations across the team and stakeholders, reducing misunderstandings and driving project alignment."
114,"An Agile project manager notices that team members hesitate to suggest new approaches during retrospectives. The manager wants to foster a more creative and committed team environment. What should the project manager do first?","Establish a safe environment for experimentation and disagreement","Begin tracking all suggested improvements on a visible backlog","Assign each team member a turn to propose a new idea in each retrospective","Organize mandatory brainstorming sessions during every sprint review",A,A,1/1,"Creating a safe space for disagreement and experimentation empowers Agile teams to explore new ideas, deepen engagement, and improve continuously through trust and collaboration."
115,"During a sprint review, a stakeholder asks why the team is seeking feedback on a partially completed product. How should the project manager explain the purpose of this feedback?","To verify completion of the sprint backlog and formally close the sprint","To gather input before the full product is built, using completed increments to refine direction","To validate the business case before continuing development of remaining backlog items","To demonstrate the team's productivity and ensure no backlog items are missed",B,B,1/1,"Gathering feedback on completed increments ensures Agile teams stay responsive, align work with stakeholder expectations, and continuously improve through adaptive planning."
116,"A business representative working with an Extreme Programming (XP) team is actively involved in defining requirements, prioritizing features, and ensuring the project delivers business value. What role does this person fulfill in the XP methodology?","Coach","Tester","Programmer","Customer",D,A,0/1,"The customer role in XP is critical to steering the project by setting priorities and clarifying requirements, ensuring the product delivers the right value."
117,"A new team member asks for clarification on the primary artifacts used in Scrum. What should the project manager explain as the key artifacts the team uses to plan, track, and deliver work during the sprint?","Burnup chart, working agreement, and scope statement","Release plan, team charter, and status report","Product backlog, sprint backlog, and product increment","Lessons learned register, requirements traceability matrix, and quality report",C,C,1/1,"The product backlog, sprint backlog, and product increment are the core Scrum artifacts that structure planning, execution, and delivery within each sprint."
118,"During a project kickoff, the team realizes that strict adherence to a single Agile methodology will not meet the stakeholder's expectations due to compliance and documentation needs. They decide to integrate Agile delivery with traditional project controls to satisfy both flexibility and oversight. What Agile concept is the team applying?","Retrospective feedback","Servant leadership","Agile modeling","Process tailoring",D,D,1/1,"The team is using process tailoring to adjust their delivery approach and balance Agile flexibility with compliance needs."
119,"A team is using an Agile method that emphasizes software development best practices, such as continuous feedback, simplicity, and frequent code delivery. The project manager supports work prioritization, but the development team focuses heavily on technical practices like test-driven development and pair programming. Which Agile method is the team using?","Extreme Programming (XP)","Lean Software Development","Scaled Agile Framework (SAFe)","Kanban",A,A,1/1,"The team's focus on technical practices and frequent delivery aligns with Extreme Programming, which is centered around engineering excellence in Agile development."
120,"A team is about to begin a complex, high-risk project. To proactively prepare for challenges, the project manager organizes a meeting where the team imagines the project has failed, discusses potential causes, and identifies actions that could prevent those failures. What practice is the team applying?","Root cause analysis","Lessons learned session","Risk-adjusted backlog planning","Pre-mortem analysis",D,A,0/1,"By conducting a pre-mortem analysis, the team anticipates potential failures and integrates preventive measures before execution begins."
